 i"Anfangsbuchstabe","Title","Begriff","Hinweis","Link"
"B","Basisdienst","Ein Basisdienst ist eine Teilfunktion mit spezieller Aufgabe, die zur Realisierung einer Gruppe von Funktionen beiträgt und über eine definierte Schnittstelle mehreren Funktionen zur Verfügung steht. Ein Basisdienst ist eine in sich abgeschlossene Komponente und ist unabhängig von einer Bedienlogik. Z. B. Parkkoordinator, Objektfusion (OF), Zeitmaster (ZM), Verkehrszeichenerkennung, ...",,
"E","E³","End-to-End-Elektronikarchitektur",,
"E","E³ API","Die E³ API ist die Menge aller service-orientierten Schnittstellen in der E³-Software-Architektur",,
"E","E³-Applikations-Framework","Teil der E³-Software-Plattform. Wettbewerbsdifferenzierende Umfänge für Entwicklung von Funktionen auf hohem Abstraktionsgrad. Umsetzung E³ Platform Capabilities",,
"E","E³-Basis-Plattform","Teil der E³-Software-Plattform. Nicht wettbewerbsdifferenzierende, standardisierte Umfänge. Z. B. SOME-IP-Stack",,
"E","E³ Capability","Fähigkeit von E³ (kann als Funktion, Prozess, Software und/oder Hardware umgesetzt werden).",,
"E","E³ Middleware","Die E³ Middleware wird dienstorientiert ausgeführt und ist für das Management und die Übertragung von Daten verantwortlich und enthält weitere Bausteine wie Quality of Service, Zwischenspeicherung der kommunizierten Daten (Message Queue) und stellt Mechanismen für Service-Registry, -Discovery, aber auch für koordiniertes Starten und Stoppen von Diensten bereit",,
"E","E³ Platform Capability","Der querschnittliche SW-Anteil einer E³ Capability, welche vom E³-Software-Plattform-Team verantwortet wird.",,
"E","E³-Software-Umgebung","In der E³-Software-Umgebung werden zentral die Basisdienste zur Hebung querschnittlicher Synergien aller Umgebungen bereitgestellt. Sie dient somit der zentralen Umsetzung von Masterfunktionen innerhalb der E³-Architektur.",,
"E","E³-Software-Plattform","Diese umfasst die E³-Software-Umgebung, die E³ Middleware, die E³ API-Umsetzungen, Masterfunktion (Basisdienste der SW-Plattform) und die QBFs, welche jeweils auf die einzelnen Domänen angepasst sind.",,
"E","E³-Software-Architektur","Die E³-Software-Architektur legt Regeln für alle Umgebungen bzgl. der Anbindung an die E³-Software-Plattform fest.",,
"E","E³-SW-PAC","Platform, Architecture and Capabilities: Teilprojekt im E³-Projekthaus. Koordiniert die E³-Software-Plattform und ausgewählte E³ Capabilities (vorher „E³ SW-Framework")",,
